danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,Rap
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,Rap
0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,Rap
0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,Rap
0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,Rap
0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,Rap
0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,Rap
0.932,0.547,0,-7.787,0,0.333,0.0388,0,0.0924,0.695,94.998,Rap
0.901,0.464,5,-9.789,0,0.0645,0.368,1.71E-05,0.238,0.638,109.004,Rap
0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,Rap
0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,Rap
0.735,0.369,9,-9.682,0,0.0688,0.334,0,0.126,0.235,140.004,Rap
0.57,0.903,9,-4.835,1,0.0905,0.0748,0,0.199,0.603,93.943,Rap
0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,Rap
0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,Rap
0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,Rap
0.899,0.586,11,-7.866,0,0.343,0.279,0,0.0836,0.492,150.002,Rap
0.862,0.685,0,-7.699,0,0.242,0.0342,0,0.204,0.672,100.024,Rap
0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,Rap
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,Rap
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,Rap
0.592,0.457,9,-6.081,0,0.0603,0.661,3.31E-04,0.146,0.225,146.04,Rap
0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,Rap
0.861,0.621,1,-7.106,1,0.362,0.121,0,0.0689,0.254,83.976,Rap
0.564,0.639,9,-5.93,1,0.191,0.0175,0,0.107,0.328,94.062,Rap
0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,Rap
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,Rap
0.567,0.515,6,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,Rap
0.28,0.821,8,-2.864,0,0.111,0.167,0,0.139,0.254,181.444,Rap
0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,Rap
0.718,0.767,9,-5.641,1,0.166,0.138,0,0.114,0.519,160.084,Rap
0.74,0.488,1,-7.664,0,0.27,0.234,0.00E+00,0.241,0.584,149.042,Rap
0.794,0.44,0,-7.861,0,0.131,0.0806,0,0.198,0.276,138.024,Rap
0.745,0.718,9,-4.853,0,0.183,0.197,0,0.134,0.539,151.097,Rap
0.876,0.519,11,-6.531,1,0.143,0.202,0.00E+00,0.108,0.158,94.981,Rap
0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,Rap
0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,Rap
0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,Rap
0.768,0.652,1,-2.708,0,0.307,0.113,0,0.107,0.777,154.187,Rap
0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,Rap
0.686,0.561,10,-9.929,0,0.191,0.185,0,0.114,0.186,148.775,Rap
0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,Rap
0.671,0.529,0,-7.226,1,0.307,0.0769,3.35E-04,0.0856,0.203,161.989,Rap
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,Rap
0.808,0.745,10,-5.26,0,0.342,0.145,0.00E+00,0.292,0.829,165.995,Rap
0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,Rap
0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,Rap
0.713,0.526,1,-5.046,1,0.032,0.00767,1.48E-04,0.124,0.131,131.05,Rap
0.876,0.733,10,-4.478,0,0.333,0.0208,0,0.0999,0.962,154.904,Rap
0.68,0.559,0,-5.545,1,0.129,0.172,0.00E+00,0.318,0.137,202.006,Rap
0.888,0.43,9,-6.728,1,0.588,0.0786,1.58E-06,0.132,0.45,120.088,Rap
0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,Rap
0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,Rap
0.779,0.707,1,-6.527,1,0.16,0.0991,0,0.0934,0.343,140.894,Rap
0.964,0.487,10,-6.071,0,0.421,0.00127,6.57E-06,0.115,0.107,127.05,Rap
0.816,0.582,8,-4.141,1,0.341,0.0794,5.84E-06,0.0916,0.542,160.004,Rap
0.587,0.665,2,-6.998,1,0.372,0.197,0.00E+00,0.112,0.222,96.016,Rap
0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,Rap
0.92,0.833,1,-3.18,1,0.253,0.0277,0.00E+00,0.0596,0.645,141.034,Rap
0.817,0.697,1,-5.897,1,0.211,0.074,0.00716,0.101,0.334,147.965,Rap
0.883,0.525,2,-8.054,0,0.0633,0.189,0,0.0971,0.312,99.978,Rap
0.791,0.513,10,-6.568,0,0.269,0.0235,2.83E-05,0.101,0.481,76.997,Rap
0.776,0.64,7,-8.058,1,0.183,0.15,0.00E+00,0.0983,0.326,160.038,Rap
0.734,0.765,5,-6.047,1,0.0571,0.243,0,0.101,0.512,156.04,Rap
0.943,0.595,5,-8.372,0,0.191,0.0673,0.00E+00,0.0839,0.815,117.532,Rap
0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,Rap
0.88,0.428,9,-8.28,1,0.206,0.149,5.07E-05,0.114,0.333,100.007,Rap
0.864,0.664,8,-7.315,1,0.104,0.0476,0,0.0863,0.381,94.932,Rap
0.871,0.702,5,-8.025,1,0.253,0.296,0,0.0912,0.675,125.089,Rap
0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,Rap
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,Rap
0.85,0.785,8,-4.963,0,0.345,0.0367,0.00E+00,0.155,0.718,145.063,Rap
0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,Rap
0.647,0.706,6,-6.023,0,0.137,0.264,0,0.114,0.577,153.973,Rap
0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75E-06,0.109,0.039,105.955,Rap
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,Rap
0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,Rap
0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,Rap
0.802,0.737,6,-4.862,0,0.0757,0.275,0,0.113,0.712,127.014,Rap
0.612,0.601,8,-7.089,1,0.164,0.168,0.00E+00,0.117,0.525,147.018,Rap
0.845,0.76,1,-6.008,0,0.362,0.209,0,0.105,0.516,101.91,Rap
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Rap
